PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Asmild, Mette; Paradi, Joseph C.; Pastor, Jesus T.				Pastor, Jesus/F-3178-2016; Asmild, Mette/L-9035-2014	Pastor, Jesus/0000-0003-3306-1304; Asmild, Mette/0000-0002-7272-1048			Centralized resource allocation BCC models								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			40	49		10.1016/j.omega.2006.07.006					FEB 2009	2009										74	5	0	0	1	79			0305-0483			WOS:000259436300005		
J	Briec, Walter; Kerstens, Kristiaan				Kerstens, Kristiaan/K-8507-2012; Kerstens, Kristiaan H.J./H-3869-2019	Kerstens, Kristiaan/0000-0003-3358-4332; Kerstens, Kristiaan H.J./0000-0003-3358-4332			Multi-horizon Markowitz portfolio performance appraisals: A general approach								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			50	62		10.1016/j.omega.2006.07.007					FEB 2009	2009										32	3	0	0	0	35			0305-0483			WOS:000259436300006		
J	Bosca, Jose E.; Liern, Vicente; Martinez, Aurelio; Sala, Ramon				Bosca, Jose E./K-8142-2014; Sala-Garrido, Ramon/K-3164-2014	Bosca, Jose E./0000-0001-5238-1237; Sala-Garrido, Ramon/0000-0002-4693-3944; LIERN, VICENTE/0000-0001-5883-9640			Increasing offensive or defensive efficiency? An analysis of Italian and Spanish football								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			63	78		10.1016/j.omega.2006.08.002					FEB 2009	2009										42	0	0	2	0	42			0305-0483			WOS:000259436300007		
J	Lahdelma, Risto; Makkonen, Simo; Salminen, Pekka				Lahdelma, Risto/E-9458-2010	Lahdelma, Risto/0000-0001-7882-2918; Salminen, Pekka/0000-0003-4641-4535			Two ways to handle dependent uncertainties in multi-criteria decision problems								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			79	92		10.1016/j.omega.2006.08.005					FEB 2009	2009										28	1	0	0	0	29			0305-0483			WOS:000259436300008		
J	Wang, Charles X.; Webster, Scott				Wang, Charles X/C-1010-2009	Wang, Charles X/0000-0003-1449-7305			The loss-averse newsvendor problem								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			93	105		10.1016/j.omega.2006.08.003					FEB 2009	2009										144	45	0	2	0	187			0305-0483			WOS:000259436300009		
J	Mitra, Subrata								Analysis of a two-echelon inventory system with returns								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			106	115		10.1016/j.omega.2006.10.002					FEB 2009	2009										45	3	0	0	0	48			0305-0483			WOS:000259436300010		
J	Sanders, Nada R.; Graman, Gregory A.								Quantifying costs of forecast errors: A case study of the warehouse environment								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			116	125		10.1016/j.omega.2006.10.004					FEB 2009	2009										21	0	0	0	1	22			0305-0483			WOS:000259436300011		
J	Martin, Clarence H.								A hybrid genetic algorithm/mathematical programming approach to the multi-family flowshop scheduling problem with lot streaming								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			126	137		10.1016/j.omega.2006.11.002					FEB 2009	2009										31	4	0	0	0	33			0305-0483			WOS:000259436300012		
J	Tuetuencue, G. Yazgi; Carreto, Carlos A. C.; Baker, Barrie M.				Carreto, Carlos/J-1578-2012				A visual interactive approach to classical and mixed vehicle routing problems with backhauls								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			138	154		10.1016/j.omega.2006.11.001					FEB 2009	2009										18	0	0	0	0	18			0305-0483			WOS:000259436300013		
J	Li, Xiaoping; Wang, Qian; Wu, Cheng				Li, Xiaoping/I-8389-2012	Li, Xiaoping/0000-0003-3201-0038			Efficient composite heuristics for total flowtime minimization in permutation flow shops								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	1			155	164		10.1016/j.omega.2006.11.003					FEB 2009	2009										69	6	0	2	0	74			0305-0483			WOS:000259436300014		
