作者	記錄	% of 648
AZEVEDO A	1	0.154
BAE BC	1	0.154
BAIK H	1	0.154
BAILLY G	1	0.154
BAIR A	1	0.154
BAISCH S	1	0.154
BALAGUER BD	1	0.154
BALDWIN DA	1	0.154
BALISTRERI G	1	0.154
BALLARDINI G	1	0.154
BANERJEE R	1	0.154
BAO GJ	1	0.154
BAO YQ	1	0.154
BARAGLIA J	1	0.154
BARANES A	1	0.154
BARBIERO M	1	0.154
BARKANA DE	1	0.154
BARRA V	1	0.154
BARRERA A	1	0.154
BARRETT E	1	0.154
BARRON-GONZALEZ H	1	0.154
BARTLETT MS	1	0.154
BARTON B	1	0.154
BASANEZ L	1	0.154
BASCETTA L	1	0.154
BASEDOW C	1	0.154
BASESKI E	1	0.154
BASTERIS A	1	0.154
BAUD-BOVY G	1	0.154
BAUWENS V	1	0.154
BAYKAL GE	1	0.154
BAYON C	1	0.154
BAZILE C	1	0.154
BEASLEY C	1	0.154
BECK A	1	0.154
BECKER-ASANO C	1	0.154
BEER JM	1	0.154
BEGUM M	1	0.154
BEKELE E	1	0.154
BEKRATER-BODMANN R	1	0.154
BELDA-LOIS JM	1	0.154
BELLETIER C	1	0.154
BELOKOPYTOV M	1	0.154
BELPEAME T	1	0.154
BEN ALLOUCH S	1	0.154
BEN MOUSSA M	1	0.154
BENHABIB B	1	0.154
BENNATI S	1	0.154
BENNETT CC	1	0.154
BERBERIAN B	1	0.154
BERGMANN K	1	0.154
BERGQUIST T	1	0.154
BERNARDINO A	1	0.154
BERS MU	1	0.154
BERTHOZ A	1	0.154
BETHEL CL	1	0.154
BHARATHARAJ J	1	0.154
BHATTACHARJEE A	1	0.154
BI S	1	0.154
BIASINI FJ	1	0.154
BIBB R	1	0.154
BICCHI A	1	0.154
BIEHL M	1	0.154
BIJLSTRA G	1	0.154
BILLARD AG	1	0.154
BILLING E	1	0.154
BING ZS	1	0.154
BINGHAM B	1	0.154
BLANCHARD A	1	0.154
BLANCO-ORTEGA A	1	0.154
BLUMENSTEIN M	1	0.154
BOBINGER S	1	0.154
BOBY RA	1	0.154
BOCCIGNONE G	1	0.154
BODDEN C	1	0.154
BOESCH PM	1	0.154
BOLEA Y	1	0.154
BONACCORSI M	1	0.154
BONANI M	1	0.154
BONARINI A	1	0.154
BORDES JB	1	0.154
BORENSTEIN J	1	0.154
BOUCHER JD	1	0.154
BOZDAG E	1	0.154
BOZMA HI	1	0.154
BRAM V	1	0.154
BRAMBLE M	1	0.154
BRANDSTETTER J	1	0.154
BREAZEAL C	1	0.154
BREWER AA	1	0.154
BRIGGS G	1	0.154
BRIOD M	1	0.154
BRITO PQ	1	0.154
BROCK O	1	0.154
BROCKMAN J	1	0.154
BROSCH T	1	0.154
BRUNETE A	1	0.154
BRUNO B	1	0.154
BUHAGIAR K	1	0.154
BULL S	1	0.154
BUNT A	1	0.154
BUONO S	1	0.154
BURGARD W	1	0.154
BURMESTER M	1	0.154
BUSELLI E	1	0.154
BUTKO NJ	1	0.154
BUURKE J	1	0.154
BYVOET M	1	0.154
CABICO M	1	0.154
CABROL N	1	0.154
CALDWELL DG	1	0.154
CALHOUN VD	1	0.154
CALVANI A	1	0.154
CAMILLERI D	1	0.154
CAMILLI R	1	0.154
CAO CGL	1	0.154
CAO J	1	0.154
CAO JH	1	0.154
CAPPA P	1	0.154
CAPPAGLI G	1	0.154
CARBERRY A	1	0.154
CARCAGNI P	1	0.154
CAREY JP	1	0.154
CARICATO P	1	0.154
CARLINI G	1	0.154
CARON L	1	0.154
CARPIN S	1	0.154
CARPINO G	1	0.154
CARROZZA MC	1	0.154
CARTON D	1	0.154
CASADIO M	1	0.154
CASANOVAS J	1	0.154
CASEY D	1	0.154
CASSELLA J	1	0.154
CASTRO E	1	0.154
CAZALILLA J	1	0.154
CECCHI F	1	0.154
CEDERBORG T	1	0.154
CESARIO A	1	0.154
CHADWELL A	1	0.154
CHAN FTS	1	0.154
CHAN KM	1	0.154
CHAN WL	1	0.154
CHANG AYC	1	0.154
CHANG CW	1	0.154
CHANG H	1	0.154
CHANG HJ	1	0.154
CHANG KW	1	0.154
CHAO F	1	0.154
CHARALAMBOUS G	1	0.154
CHAUSSE P	1	0.154
CHEEIN FAA	1	0.154
CHELLALI A	1	0.154
CHEMINADE P	1	0.154
CHEN F	1	0.154
CHEN HC	1	0.154
CHEN HY	1	0.154
CHEN JC	1	0.154
CHEN LF	1	0.154
CHEN QM	1	0.154
CHEN S	1	0.154
CHEN T	1	0.154
CHEN TY	1	0.154
CHEN YJ	1	0.154
CHEN YR	1	0.154
CHEN YX	1	0.154
CHENG B	1	0.154
CHERELLE P	1	0.154
CHERSI F	1	0.154
CHEVALIER M	1	0.154
CHEVALIER P	1	0.154
CHIAVENNA A	1	0.154
CHIRICO A	1	0.154
CHMURA J	1	0.154
CHO J	1	0.154
CHOE Y	1	0.154
CHOI J	1	0.154
CHOI JJ	1	0.154
CHONG EKP	1	0.154
CHONG NY	1	0.154
CHONNAPARAMUTT W	1	0.154
CHRYSSOLOURIS G	1	0.154
CHUKOSKIE L	1	0.154
CIANCIO AL	1	0.154
CIFUENTES C	1	0.154
CIMIANO P	1	0.154
CIONCOLONI D	1	0.154
CIPRESSO P	1	0.154
CLARET JA	1	0.154
CLARK CM	1	0.154
CLARKE SG	1	0.154
CLASSE J	1	0.154
CLESI CD	1	0.154
COCCHI E	1	0.154
COCO MI	1	0.154
COECKELBERGH M	1	0.154
COGNOLATO M	1	0.154
COHEN D	1	0.154
COHEN I	1	0.154
COHEN K	1	0.154
COHEN-LHYVER B	1	0.154
COLLAZOS S	1	0.154
COLLINS SH	1	0.154
CONG M	1	0.154
CONTE D	1	0.154
CONTI D	1	0.154
COONEY MD	1	0.154
CORKE P	1	0.154
CORRELL N	1	0.154
CORRIGAN LJ	1	0.154
COSI P	1	0.154
COSMAN PC	1	0.154
COSTESCU CA	1	0.154
COTE MJ	1	0.154
COWELL RA	1	0.154
CRAINIC V	1	0.154
CROSS ES	1	0.154
CRUMPTON J	1	0.154
CRUSE H	1	0.154
CRUZ F	1	0.154
CUCULO V	1	0.154
CULHA U	1	0.154
CUNNINGHAM S	1	0.154
D'AMELIO A	1	0.154
D'MELLO S	1	0.154
DA ROLD F	1	0.154
DAHAN M	1	0.154
DAI M	1	0.154
DAI XZ	1	0.154
DAMIANO L	1	0.154
DAMIANOU A	1	0.154
DANAHY E	1	0.154
DANG THH	1	0.154
DANIEL D	1	0.154
DATTERI E	1	0.154
DAVID DO	1	0.154
DAVIS BJ	1	0.154
DAVIS J	1	0.154
DAWSON MR	1	0.154
DE BARBARO K	1	0.154
DE CARVALHO RA	1	0.154
DE GREEFF J	1	0.154
DE GROSBOIS J	1	0.154
DE HAAS M	1	0.154
DE KLEIJN R	1	0.154
DE LA PUENTE P	1	0.154
DE MONTALIVET E	1	0.154
DE NIEAR MA	1	0.154
DE PETRIS G	1	0.154
DE ROSSI D	1	0.154
DE SILVA CW	1	0.154
DE WIT J	1	0.154
DE WITTE LP	1	0.154
DEAK G	1	0.154
DECKER M	1	0.154
DEGRIS T	1	0.154
DEHKORDI PS	1	0.154
DEL CASTILLO MD	1	0.154
DEL COCO M	1	0.154
DELAPORTA K	1	0.154
DEMETRIADIS S	1	0.154
DENG Y	1	0.154
DENICIA E	1	0.154
DENISA M	1	0.154
DETRY R	1	0.154
DEVGAN N	1	0.154
DI NUOVO S	1	0.154
DIAZ A	1	0.154
DIAZ-BOLADERAS M	1	0.154
DIAZ-RODRIGUEZ M	1	0.154
DILLENBOURG P	1	0.154
DINDO H	1	0.154
DING HS	1	0.154
DINI G	1	0.154
DIRK L	1	0.154
DISSANAYAKE G	1	0.154
DISTANTE C	1	0.154
DOBREAN A	1	0.154
DOGLIO L	1	0.154
DONAUER M	1	0.154
DONNARUMMA F	1	0.154
DORNEICH MC	1	0.154
DORNFELD C	1	0.154
DOSEN S	1	0.154
DOTSCH R	1	0.154
DU SC	1	0.154
DU Y	1	0.154
DUAN F	1	0.154
DUAN XD	1	0.154
DUAN Y	1	0.154
DUARTE JE	1	0.154
DUKAT C	1	0.154
DURAN B	1	0.154
DUYSENS J	1	0.154
DZIERGWA M	1	0.154
EARLAND K	1	0.154
EASTHOPE CS	1	0.154
EDAN Y	1	0.154
EFTRING H	1	0.154
EGUIA I	1	0.154
EICHBERG J	1	0.154
EIMLER SC	1	0.154
EL-HUSSIENY H	1	0.154
ELGER B	1	0.154
ELISEI F	1	0.154
ERDEN MS	1	0.154
ERDOGAN A	1	0.154
ERHAN H	1	0.154
ERKENT O	1	0.154
EROL D	1	0.154
ERWIN A	1	0.154
ESPINOSA J	1	0.154
ESSEILY R	1	0.154
ESTIVILL-CASTRO V	1	0.154
EUSTICE R	1	0.154
EVEN J	1	0.154
FAGARD J	1	0.154
FALOMIR Z	1	0.154
FAMA F	1	0.154
FAN CJ	1	0.154
FAN TR	1	0.154
FANG F	1	0.154
FANG H	1	0.154
FANTINI-HAUWEL C	1	0.154
FARINA D	1	0.154
FAUBEL C	1	0.154
FAYEMI PE	1	0.154
FEERST DA	1	0.154
FERGUSON SJ	1	0.154
FERNANDO ONN	1	0.154
FERRAND L	1	0.154
FERRARI E	1	0.154
FERRARI F	1	0.154
FERRAUTO T	1	0.154
FERRERI F	1	0.154
FICHTL S	1	0.154
FILIPPI M	1	0.154
FINK J	1	0.154
FINOCCHIETH S	1	0.154
FINOMORE V	1	0.154
FIORINI L	1	0.154
FISCHER K	1	0.154
FISCHER M	1	0.154
FISCHER T	1	0.154
FLETCHER S	1	0.154
FOLEY B	1	0.154
FOLEY G	1	0.154
FONOONI B	1	0.154
FORLIZZI J	1	0.154
FORNER-CORDERO A	1	0.154
FORSTER D	1	0.154
FORSTER F	1	0.154
FORTE F	1	0.154
FOX D	1	0.154
FRANCISCO GE	1	0.154
FRANCISCO M	1	0.154
FRANKLIN S	1	0.154
FREKSA C	1	0.154
FRENCH RM	1	0.154
FRIDIN M	1	0.154
FRITSCH J	1	0.154
FRIZERA A	1	0.154
FRONTKIEWICZ M	1	0.154
FURBER S	1	0.154
GADALETA M	1	0.154
GAGGIOLI A	1	0.154
GALAN R	1	0.154
GALPIN A	1	0.154
GAMBIN T	1	0.154
GANESH G	1	0.154
GAO Q	1	0.154
GAO X	1	0.154
GARCIA JM	1	0.154
GARDI A	1	0.154
GARRELL A	1	0.154
GARZA-REYES JA	1	0.154
GAS B	1	0.154
GASPERS J	1	0.154
GATSOULIS Y	1	0.154
GECKIN V	1	0.154
GEISER C	1	0.154
GEORGE D	1	0.154
GERAVAND M	1	0.154
GERMANOTTA M	1	0.154
GEYER H	1	0.154
GHALAMZAN EAM	1	0.154
GHAZISAEDY M	1	0.154
GIANNANTONIO R	1	0.154
GIANNONI P	1	0.154
GIANNOPULU I	1	0.154
GIENGER M	1	0.154
GIESEN T	1	0.154
GILLES A	1	0.154
GILLESEN JCC	1	0.154
GINI M	1	0.154
GISINGER C	1	0.154
GIULIANI M	1	0.154
GLEICHER M	1	0.154
GOKSUN T	1	0.154
GOLEN T	1	0.154
GOMOLL A	1	0.154
GONG L	1	0.154
GONZALEZ E	1	0.154
GONZALEZ-FIERRO M	1	0.154
GOODMAN R	1	0.154
GOODWIN SJ	1	0.154
GORBET R	1	0.154
GORDON SM	1	0.154
GORER B	1	0.154
GORI I	1	0.154
GORI M	1	0.154
GOUDBEEK M	1	0.154
GOUVEA TS	1	0.154
GRAF B	1	0.154
GRAGG J	1	0.154
GRAHAM JL	1	0.154
GRAMUNT MD	1	0.154
GRAU A	1	0.154
GRECO A	1	0.154
GREEN J	1	0.154
GREZES J	1	0.154
GRIECO A	1	0.154
GRIFFIN K	1	0.154
GRIMMER M	1	0.154
GRIN E	1	0.154
GROEN FCA	1	0.154
GROSSI G	1	0.154
GRUPEN RA	1	0.154
GRYNSZPAN O	1	0.154
GRZYB BJ	1	0.154
GUCHHAIT R	1	0.154
GUCKELSBERGER C	1	0.154
