作者	記錄	% of 648
KIM Z	1	0.154
KIMOTO M	1	0.154
KING CHA	1	0.154
KIRBY R	1	0.154
KIRCHNER EA	1	0.154
KISTAN T	1	0.154
KITAJIMA Y	1	0.154
KIVELEVITCH E	1	0.154
KLEAWSIRIKUL N	1	0.154
KLEIN B	1	0.154
KLEIN FB	1	0.154
KNOLL A	1	0.154
KNOLL AC	1	0.154
KNOPF M	1	0.154
KOC T	1	0.154
KOCH SA	1	0.154
KODAGODA S	1	0.154
KOERTNER T	1	0.154
KOH JTKV	1	0.154
KOIVA R	1	0.154
KOLLING T	1	0.154
KOMATSUBARA T	1	0.154
KOMINSKY JF	1	0.154
KONDO H	1	0.154
KONG KH	1	0.154
KONIJN EA	1	0.154
KOPICKI M	1	0.154
KOSE-BAGCI H	1	0.154
KOSICKI T	1	0.154
KOSUGE K	1	0.154
KOVACIC Z	1	0.154
KOWAL M	1	0.154
KRAGELOH C	1	0.154
KRAHMER E	1	0.154
KRAJNIK T	1	0.154
KROSE B	1	0.154
KRUSCHE C	1	0.154
KUBICA E	1	0.154
KUBOTA N	1	0.154
KUCHIRKO Y	1	0.154
KUHNLENZ B	1	0.154
KUIKEN TA	1	0.154
KUINDERSMA SR	1	0.154
KUIPERS B	1	0.154
KUMAR M	1	0.154
KUMAR NA	1	0.154
KUMARI S	1	0.154
KUNIYOSHI Y	1	0.154
KUNTAY AC	1	0.154
KURATATE T	1	0.154
KURIGER G	1	0.154
KURKCU C	1	0.154
KUSHIDA K	1	0.154
KUSTER D	1	0.154
KUSUMOTO Y	1	0.154
KUWAHARA N	1	0.154
KWAK SS	1	0.154
KWON DS	1	0.154
KWON O	1	0.154
KWON T	1	0.154
LACOTTE J	1	0.154
LAFONTAINE P	1	0.154
LAKATOS G	1	0.154
LAN DD	1	0.154
LANATA A	1	0.154
LANDSIEDEL C	1	0.154
LANZAROTTI R	1	0.154
LAPPE M	1	0.154
LARA-BARRIOS CM	1	0.154
LASOTA P	1	0.154
LAUGIER C	1	0.154
LAWLOR O	1	0.154
LAYHER G	1	0.154
LAZARO-GREDILLA M	1	0.154
LAZZARA NS	1	0.154
LAZZERI N	1	0.154
LE MAITRE J	1	0.154
LE QT	1	0.154
LEBERSFELD JB	1	0.154
LEE AC	1	0.154
LEE DH	1	0.154
LEE G	1	0.154
LEE MH	1	0.154
LEE N	1	0.154
LEE NY	1	0.154
LEE S	1	0.154
LEE SA	1	0.154
LEHMANN H	1	0.154
LEIDL K	1	0.154
LEITNER J	1	0.154
LEMAIGNAN S	1	0.154
LENGGENHAGER B	1	0.154
LENNOX B	1	0.154
LENZ A	1	0.154
LEO M	1	0.154
LEONARDIS A	1	0.154
LEONARDS U	1	0.154
LERMA-LARA S	1	0.154
LEVILLAIN F	1	0.154
LEWIS JM	1	0.154
LEWIS RL	1	0.154
LEWKOWICZ D	1	0.154
LEXIS MAS	1	0.154
LI C	1	0.154
LI GB	1	0.154
LI HD	1	0.154
LI HJ	1	0.154
LI J	1	0.154
LI JF	1	0.154
LI LY	1	0.154
LI S	1	0.154
LI XY	1	0.154
LI Y	1	0.154
LI YL	1	0.154
LI YN	1	0.154
LI YX	1	0.154
LI ZJ	1	0.154
LIANG MJ	1	0.154
LIANG YH	1	0.154
LIEPELT R	1	0.154
LIM A	1	0.154
LIM GJ	1	0.154
LIM YX	1	0.154
LIMA PU	1	0.154
LIN CM	1	0.154
LIN DH	1	0.154
LIN Y	1	0.154
LINDEKE RR	1	0.154
LITTLE G	1	0.154
LIU CX	1	0.154
LIU D	1	0.154
LIU R	1	0.154
LIU XX	1	0.154
LIU ZX	1	0.154
LLACER MR	1	0.154
LLOFRIU M	1	0.154
LOBO L	1	0.154
LOCKHART TE	1	0.154
LOHAN KS	1	0.154
LOHSE M	1	0.154
LOOIJE R	1	0.154
LOPES M	1	0.154
LORENZ T	1	0.154
LORENZETTI S	1	0.154
LOUREIRO-RODRIGUEZ V	1	0.154
LOURENS T	1	0.154
LOW KH	1	0.154
LOW SC	1	0.154
LU YQ	1	0.154
LUKIC L	1	0.154
LUO DS	1	0.154
LUO RH	1	0.154
LUVIZOTTO A	1	0.154
LV L	1	0.154
LYUBOVA N	1	0.154
MA C	1	0.154
MA XD	1	0.154
MA XY	1	0.154
MAC NAMEE B	1	0.154
MACALPINE P	1	0.154
MACDONALD B	1	0.154
MACDORMAN KF	1	0.154
MACKWORTH AK	1	0.154
MADAAN J	1	0.154
MADEMTZI M	1	0.154
MADL T	1	0.154
MAE Y	1	0.154
MAEDA J	1	0.154
MAGG S	1	0.154
MAGGIALI M	1	0.154
MAGNENAT S	1	0.154
MAGNENAT-THALMANN N	1	0.154
MAGRELLI S	1	0.154
MAHDI A	1	0.154
MAHMOUDI M	1	0.154
MAJUMDAR A	1	0.154
MALLIOS A	1	0.154
MALLOFRE AC	1	0.154
MALOSIO M	1	0.154
MALVEZZI M	1	0.154
MAMUS E	1	0.154
MANIADAKIS M	1	0.154
MANN TA	1	0.154
MANNELLA F	1	0.154
MANNER M	1	0.154
MANOONPONG P	1	0.154
MANSON GA	1	0.154
MANZONE D	1	0.154
MAR T	1	0.154
MARANZANA N	1	0.154
MARCHANT R	1	0.154
MARESCHAL D	1	0.154
MARINI F	1	0.154
MARTELLI D	1	0.154
MARTELO AB	1	0.154
MARTEU A	1	0.154
MARTIN JC	1	0.154
MARTINET N	1	0.154
MARTINEZ-CABALLERO I	1	0.154
MARTINEZ-HERNANDEZ I	1	0.154
MARTINEZ-HERNANDEZ U	1	0.154
MASIA L	1	0.154
MASSERA G	1	0.154
MAST M	1	0.154
MASTROGIOVANNI F	1	0.154
MATA V	1	0.154
MATERNA Z	1	0.154
MATHEWS N	1	0.154
MATSUMARU T	1	0.154
MATSUNO F	1	0.154
MATTEUCCI M	1	0.154
MATTHEWS DE	1	0.154
MATU S	1	0.154
MAVRIKIOS D	1	0.154
MAYER P	1	0.154
MAZZEI D	1	0.154
MAZZOLENI S	1	0.154
MCBRIDE S	1	0.154
MCDOWELL K	1	0.154
MCGARVEY M	1	0.154
MCGILLION ML	1	0.154
MCGINNITY TM	1	0.154
MCGREGOR AH	1	0.154
MCNEW ME	1	0.154
MEALIER AL	1	0.154
MEISSNER K	1	0.154
MELNYK A	1	0.154
MENG Q	1	0.154
MENG V	1	0.154
MENICHETTI L	1	0.154
MENNE IM	1	0.154
MEOLA VC	1	0.154
MERAD M	1	0.154
MERLET JP	1	0.154
MESCHEDE C	1	0.154
MEYER M	1	0.154
MEZA IV	1	0.154
MI Z	1	0.154
MICERA S	1	0.154
MICHAEL J	1	0.154
MICHAELIS JE	1	0.154
MIDDEN C	1	0.154
MIDDEN CJH	1	0.154
MIHAILIDIS A	1	0.154
MIKI M	1	0.154
MIKLIC D	1	0.154
MILETITCH R	1	0.154
MILFORD M	1	0.154
MILLER WC	1	0.154
MIN HQ	1	0.154
MINATO T	1	0.154
MINDELL D	1	0.154
MIROLLI M	1	0.154
MISHRA N	1	0.154
MITAKE H	1	0.154
MITCHELL I	1	0.154
MITCHELL IM	1	0.154
MITICHE H	1	0.154
MIWA T	1	0.154
MIYASHITA T	1	0.154
MOERWALD T	1	0.154
MOHAMMAD Y	1	0.154
MOHAN RE	1	0.154
MOHAN V	1	0.154
MOLINA A	1	0.154
MOLTEDO M	1	0.154
MONCEAU S	1	0.154
MONJE C	1	0.154
MONJE CA	1	0.154
MONTANIER JM	1	0.154
MONTE A	1	0.154
MONTEIRO T	1	0.154
MOORE RK	1	0.154
MOORTHY RS	1	0.154
MORADI H	1	0.154
MORALES Y	1	0.154
MORENO-NOGUER F	1	0.154
MORETTA T	1	0.154
MORETTI P	1	0.154
MORONE G	1	0.154
MORSE AF	1	0.154
MOSHAYEV Y	1	0.154
MOUNTAIN G	1	0.154
MOVELLAN JR	1	0.154
MOYLE W	1	0.154
MULLER H	1	0.154
MURPHY K	1	0.154
MUSZYNSKI R	1	0.154
MWANGI E	1	0.154
NABESHIMA C	1	0.154
NABHANI F	1	0.154
NADEL J	1	0.154
NAGAI C	1	0.154
NAGASAKA S	1	0.154
NAGATA F	1	0.154
NAGATA K	1	0.154
NAGHDY F	1	0.154
NAGHDY G	1	0.154
NAKAGAWA Y	1	0.154
NAKAMURA M	1	0.154
NAKAMURA Y	1	0.154
NAKASHIMA R	1	0.154
NAKATSU R	1	0.154
NANAYAKKARA T	1	0.154
NARBER C	1	0.154
NARDELLI M	1	0.154
NASR N	1	0.154
NEERINCX MA	1	0.154
NEHANIV C	1	0.154
NEHANIV CL	1	0.154
NEUFELD M	1	0.154
NEUMANN H	1	0.154
NG J	1	0.154
NGHIEM XN	1	0.154
NGUYEN P	1	0.154
NI DJ	1	0.154
NICULESCU A	1	0.154
NIJENHUIS S	1	0.154
NIJHOLT A	1	0.154
NINO LF	1	0.154
NINOMIYA T	1	0.154
NISHIDA T	1	0.154
NISHIGAYA K	1	0.154
NISHIHARA J	1	0.154
NISSAN E	1	0.154
NOEL JP	1	0.154
NOOHI E	1	0.154
NORIS B	1	0.154
NORMAND A	1	0.154
NORSKOV M	1	0.154
NOURBAKHSH I	1	0.154
NOVAK D	1	0.154
NUNES E	1	0.154
NURZAMAN SG	1	0.154
NYLUND H	1	0.154
O'DWYER S	1	0.154
O'GRADY R	1	0.154
O'HARE GMP	1	0.154
O'KANE JM	1	0.154
O'MALLEY MK	1	0.154
O'REGAN K	1	0.154
O'REGAN KJ	1	0.154
O'SULLIVAN L	1	0.154
O'SULLIVAN LW	1	0.154
OBERHOFER K	1	0.154
OBINATA G	1	0.154
OESS T	1	0.154
OGAWA K	1	0.154
OGNIBENE D	1	0.154
OGUNMAKIN G	1	0.154
OH MK	1	0.154
OHARA K	1	0.154
OHIRI U	1	0.154
OHKI Y	1	0.154
OHNUMA T	1	0.154
OJHA S	1	0.154
OKSANEN A	1	0.154
OKUNO HG	1	0.154
OLATUNJI S	1	0.154
OLEKSY A	1	0.154
OLSON DL	1	0.154
OLSTAD CS	1	0.154
OLSZOWY W	1	0.154
OLTETEANU AM	1	0.154
ONUKI T	1	0.154
OOUCHIDA Y	1	0.154
ORANC C	1	0.154
ORON-GILAD T	1	0.154
OSSMY O	1	0.154
OSUCH EA	1	0.154
OSWALD F	1	0.154
OTA J	1	0.154
OTT C	1	0.154
OTT I	1	0.154
OUDGENOEG-PAZ O	1	0.154
OZCAN B	1	0.154
OZKUL A	1	0.154
OZKUL F	1	0.154
PAAUWE RA	1	0.154
PACHERIE E	1	0.154
PACILLI A	1	0.154
PADOIS V	1	0.154
PAGE A	1	0.154
PAL SK	1	0.154
PALADINO MP	1	0.154
PALMA-AMESTOY R	1	0.154
PAN ES	1	0.154
PAN LZ	1	0.154
PANG N	1	0.154
PANTEL J	1	0.154
PAOLUCCI S	1	0.154
PAPALEO E	1	0.154
PAPAXANTHIS C	1	0.154
PAPPAS M	1	0.154
PAREEK S	1	0.154
PARK CS	1	0.154
PARK JC	1	0.154
PARK JH	1	0.154
PARK SK	1	0.154
PARK T	1	0.154
PARK Y	1	0.154
PARMIGGIANI A	1	0.154
PARRA-TSUNEKAWA I	1	0.154
PATANE L	1	0.154
PATON JJ	1	0.154
PATTON JL	1	0.154
PAULIN G	1	0.154
PAVONE M	1	0.154
PECA A	1	0.154
PECAS P	1	0.154
PEDRO A	1	0.154
PEER A	1	0.154
PEHLIVAN AU	1	0.154
PELLICCIARI M	1	0.154
PENG Y	1	0.154
PEREIRA A	1	0.154
PEREIRA JN	1	0.154
PEREYRE L	1	0.154
PEREZ-SOMARRIBA A	1	0.154
PERUZZINI M	1	0.154
PETERS J	1	0.154
PETERSEN K	1	0.154
PETRAZZUOLO C	1	0.154
PETRIC F	1	0.154
PFADENHAUER M	1	0.154
PHILLIS YA	1	0.154
PIATER J	1	0.154
PIATER JH	1	0.154
PICARD RW	1	0.154
PIKOVSKY A	1	0.154
PILARSKI PM	1	0.154
PIMENTEL T	1	0.154
PINE JM	1	0.154
PINEDA LA	1	0.154
PINTEA S	1	0.154
PIOGGIA G	1	0.154
PIPE A	1	0.154
PIPE T	1	0.154
PODEVIJN G	1	0.154
POLANI D	1	0.154
POLLATOS O	1	0.154
POLLMANN K	1	0.154
POLYDOROU D	1	0.154
PONCE P	1	0.154
PONNAMBALAM SG	1	0.154
POO AN	1	0.154
POSTERARO F	1	0.154
POSTMA E	1	0.154
POTAPOVA E	1	0.154
POUR AG	1	0.154
POURETEMAD H	1	0.154
POURETEMAD HR	1	0.154
POWERS TM	1	0.154
PRADEL G	1	0.154
PRAKASH R	1	0.154
PRAMANIK S	1	0.154
PRANGE G	1	0.154
PRATTICHIZZO D	1	0.154
PRENTICE S	1	0.154
PRESCOTT TJ	1	0.154
PRIPFL J	1	0.154
PROUDFOOT D	1	0.154
PROVASI J	1	0.154
PUGAZHENTHI S	1	0.154
PUH U	1	0.154
PUIG-PEY A	1	0.154
PUIGBO JY	1	0.154
PUNSOLA A	1	0.154
PYO S	1	0.154
QI L	1	0.154
QIAN K	1	0.154
QIN HY	1	0.154
QIN J	1	0.154
QIN MY	1	0.154
QUACINELLA J	1	0.154
RACERO J	1	0.154
RACZASZEK-LEONARDI J	1	0.154
RADER ND	1	0.154
RAGAGLIA M	1	0.154
RAHMAN N	1	0.154
RAIRAN JD	1	0.154
RAJENDRAN G	1	0.154
RAKITA D	1	0.154
RAMACHANDRAN A	1	0.154
RAMAKRISHNAN R	1	0.154
RAMASAMY S	1	0.154
RAMIREZ O	1	0.154
RAMIREZ-ALPIZAR IG	1	0.154
RAMKUMAR AS	1	0.154
RAMONA S	1	0.154
RAMOS P	1	0.154
RANDAZZO M	1	0.154
RASMUSSEN MH	1	0.154
RAST A	1	0.154
RAUTERBERG M	1	0.154
REBELO R	1	0.154
REBOLA CB	1	0.154
REICH-STIEBERT N	1	0.154
REID C	1	0.154
REINA A	1	0.154
REINERT A	1	0.154
RELKIN E	1	0.154
REN F	1	0.154
REN SG	1	0.154
REN WC	1	0.154
RENNA P	1	0.154
RETORNAZ P	1	0.154
REYES ME	1	0.154
RIDGE B	1	0.154
RIESER V	1	0.154
RILEY M	1	0.154
RINDERKNECHT S	1	0.154
RIOS-MARTINEZ J	1	0.154
RIVA G	1	0.154
ROBERT P	1	0.154
ROBERTS D	1	0.154
ROBY-BRAMI A	1	0.154
ROCHE AD	1	0.154
ROCON E	1	0.154
RODRIGUEZ-GUERRERO C	1	0.154
ROGERS CB	1	0.154
ROJAS M	1	0.154
ROLF M	1	0.154
ROMAN C	1	0.154
ROSENBLUM M	1	0.154
ROSENSTEIN MT	1	0.154
ROSENTHAL S	1	0.154
ROSENTHAL-VON DER PUETTEN AM	1	0.154
ROSING J	1	0.154
ROSSBERG H	1	0.154
ROSSETTI P	1	0.154
ROSSI A	1	0.154
ROSSI RM	1	0.154
ROUSSEAU W	1	0.154
ROWE A	1	0.154
ROYAKKERS L	1	0.154
RUDOVIC O	1	0.154
RUHL S	1	0.154
RUIZ-DEL-SOLAR J	1	0.154
RUTA L	1	0.154
RUTKOWSKA-KUCHARSKA A	1	0.154
RUVOLO P	1	0.154
RYE D	1	0.154
RYU JH	1	0.154
SAADATIAN E	1	0.154
SABATINI R	1	0.154
SACCO G	1	0.154
SAECHAO A	1	0.154
SAGERER G	1	0.154
SAGNOLETTI G	1	0.154
SAHA SK	1	0.154
SAHAI A	1	0.154
SAITO N	1	0.154
SAKAI Y	1	0.154
SAKAMOTO T	1	0.154
SAKELLARIOU D	1	0.154
SALAH AA	1	0.154
SALE P	1	0.154
SALEM M	1	0.154
SALGE C	1	0.154
SALICE A	1	0.154
SALOMONS N	1	0.154
SAMADANI AA	1	0.154
SAMANI H	1	0.154
SANCHO-PUCHADES A	1	0.154
SANDAMIRSKAYA Y	1	0.154
SANDOVAL EB	1	0.154
SANDYGULOVA A	1	0.154
SANT'ANNA A	1	0.154
SANTORELLI A	1	0.154
SANTOS N	1	0.154
SAPONARA F	1	0.154
SARATHY V	1	0.154
SARDAR A	1	0.154
SARKAR B	1	0.154
SARKAR M	1	0.154
SARKAR N	1	0.154
SARNE-FLEISEHMANN V	1	0.154
SAUPPE A	1	0.154
SAVASTANO P	1	0.154
SAVELA N	1	0.154
SCALISE R	1	0.154
SCANO A	1	0.154
SCARBOROUGH S	1	0.154
SCHALL A	1	0.154
SCHATZLEIN F	1	0.154
SCHEIDT RA	1	0.154
SCHEIRER W	1	0.154
SCHERMERHORN P	1	0.154
SCHILLING M	1	0.154
SCHLESINGER M	1	0.154
SCHMIDHUBER J	1	0.154
SCHMIDT K	1	0.154
SCHODDE T	1	0.154
SCHOELER M	1	0.154
SCHOENHERR E	1	0.154
SCHONER G	1	0.154
SCHREUDER E	1	0.154
SCHULLER B	1	0.154
SCHURMANN T	1	0.154
SCHUTTE N	1	0.154
SCHWAB F	1	0.154
SCILINGO EP	1	0.154
SCIUTTI A	1	0.154
SEBASTIAN P	1	0.154
SEE SL	1	0.154
SEET G	1	0.154
SEIFARTH C	1	0.154
SELIC S	1	0.154
SELLERS AG	1	0.154
SEMIN GR	1	0.154
SEO N	1	0.154
SEO SH	1	0.154
SERGI F	1	0.154
SERHOLT S	1	0.154
SERNA RW	1	0.154
SERRANO JI	1	0.154
SHAH D	1	0.154
SHAH N	1	0.154
SHAH SIA	1	0.154
SHANG S	1	0.154
SHAPIRO B	1	0.154
SHARKEY A	1	0.154
SHARKEY N	1	0.154
SHARMA C	1	0.154
SHARMA P	1	0.154
SHEN L	1	0.154
SHEN M	1	0.154
SHEPPARD E	1	0.154
SHEPSTONE SE	1	0.154
SHIBUYA S	1	0.154
SHIC F	1	0.154
SHIGEMI S	1	0.154
SHIN HS	1	0.154
SHIN SY	1	0.154
SHOKRI A	1	0.154
SHULTZ TR	1	0.154
SIAGIAN C	1	0.154
SIAL MB	1	0.154
SIAL SB	1	0.154
SILVA P	1	0.154
SILVERA-TAWIL D	1	0.154
SIMONETTI D	1	0.154
SINGH A	1	0.154
SINGH H	1	0.154
SINGH N	1	0.154
SISBOT EA	1	0.154
SJOO K	1	0.154
SKACHEK S	1	0.154
SKOCAJ D	1	0.154
SMARR CA	1	0.154
SMEETS MAM	1	0.154
SMITH LB	1	0.154
SMITH SC	1	0.154
SMRZ P	1	0.154
SNAIDER J	1	0.154
SO WC	1	0.154
SOANGRA R	1	0.154
SOARES C	1	0.154
SOARES F	1	0.154
SOARES S	1	0.154
SOBIERAJ S	1	0.154
SOHN SY	1	0.154
SOLIS J	1	0.154
SOMMAVILLA G	1	0.154
SONG AG	1	0.154
SORG J	1	0.154
SOSNOWSKI S	1	0.154
SPADARO L	1	0.154
SPALANZANI A	1	0.154
SPANEL M	1	0.154
SPARROW R	1	0.154
SPATOLA N	1	0.154
SQUERI V	1	0.154
SRINIVASA SS	1	0.154
STAFFA M	1	0.154
STAHL BC	1	0.154
STAHL JE	1	0.154
STANTON CJ	1	0.154
STEFANOV D	1	0.154
STEGALL P	1	0.154
STEIL JJ	1	0.154
STEINBAUER G	1	0.154
STEINERT S	1	0.154
STEINWENDER J	1	0.154
STENZEL A	1	0.154
STEPANOVA K	1	0.154
STEPHENS-FRIPP B	1	0.154
STEVENS CE	1	0.154
STEVENS CJ	1	0.154
STIENEN A	1	0.154
STIENEN AHA	1	0.154
STIRLING D	1	0.154
STOLKIN R	1	0.154
STONE P	1	0.154
STRAUSS R	1	0.154
STURDIVANT RL	1	0.154
STURLA GF	1	0.154
STURMA A	1	0.154
SU CY	1	0.154
SU M	1	0.154
SUH IH	1	0.154
SUI J	1	0.154
SUKHOY V	1	0.154
SULZER J	1	0.154
SUN JW	1	0.154
SUN SY	1	0.154
SUN Y	1	0.154
SUNDERHAUF N	1	0.154
SUNDSTEDT V	1	0.154
SUNG B	1	0.154
SUTTON RS	1	0.154
SUZUKI K	1	0.154
SUZUKI Y	1	0.154
SWANN N	1	0.154
SWANSTON M	1	0.154
SZENTAGOTAI A	1	0.154
TABUSE M	1	0.154
TAFFONI F	1	0.154
TAFURO L	1	0.154
TAKAHASHI K	1	0.154
TAKEHASHI H	1	0.154
TAKUBO T	1	0.154
TAMATSU Y	1	0.154
TAMBURRO A	1	0.154
TAMIS-LEMONDA CS	1	0.154
TAN KC	1	0.154
TAN O	1	0.154
TAN YK	1	0.154
TAN ZH	1	0.154
TANAKA F	1	0.154
TANAKA Y	1	0.154
TANEV I	1	0.154
TANG G	1	0.154
TANG HJ	1	0.154
TANIGUCHI K	1	0.154
TANKERSLEY D	1	0.154
TARA RY	1	0.154
TAURA K	1	0.154
TAY B	1	0.154
TE BOEKHORST R	1	0.154
TEBOUL B	1	0.154
TEE KP	1	0.154
TEJERA G	1	0.154
TENG WC	1	0.154
TERAKUBO T	1	0.154
TESSER F	1	0.154
THEBERGE J	1	0.154
THIES S	1	0.154
THOMAS D	1	0.154
THOMAS GW	1	0.154
THOMAZ AL	1	0.154
THOMESSEN T	1	0.154
THOMSEN NB	1	0.154
THORNBURG KM	1	0.154
THROWER J	1	0.154
TICKLE-DEGNEN L	1	0.154
TILMONT E	1	0.154
TOLAR E	1	0.154
TOMARI R	1	0.154
TONDU B	1	0.154
TORTA E	1	0.154
TOSATTI LM	1	0.154
TOSSELL CC	1	0.154
TOUILLET A	1	0.154
TOURI B	1	0.154
TOUZET CF	1	0.154
TRAFTON JG	1	0.154
TRAHANIAS P	1	0.154
TREMBLAY L	1	0.154
TRIPPAS D	1	0.154
TRITTON T	1	0.154
TRLEP M	1	0.154
TSAGARAKIS NG	1	0.154
TSOURDOS A	1	0.154
TSUJI T	1	0.154
TURGUT AE	1	0.154
TURJA T	1	0.154
TURNWALD A	1	0.154
TURPIN JM	1	0.154
UDE A	1	0.154
UEYAMA Y	1	0.154
ULUER P	1	0.154
UMUT S	1	0.154
UNENAKA S	1	0.154
UNO R	1	0.154
UPCROFT B	1	0.154
VALENTE M	1	0.154
VALENTINI G	1	0.154
VALENZA G	1	0.154
VALERA A	1	0.154
VALLES KDB	1	0.154
VALLES M	1	0.154
VAN DE VEN AAJ	1	0.154
VAN DEN BERGHE R	1	0.154
VAN DEN BRULE R	1	0.154
VAN DER POL D	1	0.154
VAN DIJK B	1	0.154
VAN DIJK ET	1	0.154
VAN EMMERIK REA	1	0.154
VAN EST R	1	0.154
VAN SCHOOTEN B	1	0.154
VARNI G	1	0.154
VASHISTA V	1	0.154
VAVRECKA M	1	0.154
VEALE R	1	0.154
VELA PA	1	0.154
VENTOLA P	1	0.154
VERHAGEN J	1	0.154
VERSCHURE PFMJ	1	0.154
VICA C	1	0.154
VIHMAN MM	1	0.154
VILLAMIZAR M	1	0.154
VINCZE M	1	0.154
VISWANATHAN P	1	0.154
VITALE G	1	0.154
VITANZA A	1	0.154
VLACHOS E	1	0.154
VOGT J	1	0.154
VOGT P	1	0.154
VON STRYK O	1	0.154
VON ZITZEWITZ J	1	0.154
VOULOUTSI V	1	0.154
VU H	1	0.154
VUJAKLIJA I	1	0.154
WACKERMANN J	1	0.154
WADAS-SZYDLOWSKA K	1	0.154
WADHWA S	1	0.154
WADHWANIA S	1	0.154
WAGNER AR	1	0.154
WALLACE MT	1	0.154
WALLBRIDGE D	1	0.154
WALTER M	1	0.154
WAMMES M	1	0.154
WAN HD	1	0.154
WAN WW	1	0.154
WAN YH	1	0.154
WANG BY	1	0.154
WANG DY	1	0.154
WANG E	1	0.154
WANG F	1	0.154
WANG GS	1	0.154
WANG GX	1	0.154
WANG JL	1	0.154
WANG KY	1	0.154
WANG L	1	0.154
WANG N	1	0.154
WANG Q	1	0.154
WANG RH	1	0.154
WANG T	1	0.154
WANG YX	1	0.154
WANIECK K	1	0.154
WARNEKEN F	1	0.154
WARNIER M	1	0.154
WATANABE A	1	0.154
WATSON S	1	0.154
WEGNER DM	1	0.154
WEI HQ	1	0.154
WEINERT AJ	1	0.154
WEISS A	1	0.154
WEISSHARDT F	1	0.154
WEITZENFELD A	1	0.154
WEN W	1	0.154
WENG JY	1	0.154
WENNEKERS T	1	0.154
WERNER C	1	0.154
WETTENSCHWILER PD	1	0.154
WHELAN S	1	0.154
WHITE C	1	0.154
WHITE O	1	0.154
WIELINGA B	1	0.154
WIESER E	1	0.154
WIGBOLDUS DHJ	1	0.154
WILCOX RJ	1	0.154
WILKES DM	1	0.154
WILLEMSEN B	1	0.154
WILLIAMS MA	1	0.154
WILSON JR	1	0.154
WINIARSKI S	1	0.154
WININGER M	1	0.154
WINKIELMAN P	1	0.154
WINTER SD	1	0.154
WINTER VAG	1	0.154
WINTERBOER A	1	0.154
WITTMANN M	1	0.154
WOLF P	1	0.154
WONG CY	1	0.154
WONG J	1	0.154
WOODS S	1	0.154
WRIGHT HH	1	0.154
WU CC	1	0.154
WU CR	1	0.154
WU RQ	1	0.154
WU S	1	0.154
WU XH	1	0.154
WU Y	1	0.154
WYATT JL	1	0.154
WYETH G	1	0.154
WYRICK DA	1	0.154
XI LF	1	0.154
XIANG Z	1	0.154
XU B	1	0.154
XU F	1	0.154
XU GZ	1	0.154
XU J	1	0.154
XU Q	1	0.154
XU T	1	0.154
XU TT	1	0.154
XU X	1	0.154
XU XY	1	0.154
XU YT	1	0.154
YAMAMOTO S	1	0.154
YAMAMOTO T	1	0.154
YAMANOBE N	1	0.154
YAMAUCHI S	1	0.154
YAMAZAKI R	1	0.154
YAN HB	1	0.154
YANCO HA	1	0.154
YANG CG	1	0.154
YANG EJ	1	0.154
YANG HP	1	0.154
YANG JK	1	0.154
YANG LZ	1	0.154
YANG QH	1	0.154
YANG XF	1	0.154
YANG XJ	1	0.154
YANTAC AE	1	0.154
YE WJ	1	0.154
YEASIN M	1	0.154
YELDESBAY A	1	0.154
YI CA	1	0.154
YIN PC	1	0.154
YIN PJ	1	0.154
YOGEESWARAN K	1	0.154
YOO BS	1	0.154
YOON HU	1	0.154
YOON J	1	0.154
YORGANCI R	1	0.154
YORITA A	1	0.154
YOSHIMURA Y	1	0.154
YOSHITOMI Y	1	0.154
YOUNG JE	1	0.154
YOZBATIRAN N	1	0.154
YU XG	1	0.154
YU XX	1	0.154
YU Y	1	0.154
YUAN XM	1	0.154
YUN SS	1	0.154
ZAICHYK H	1	0.154
ZALDIVAR A	1	0.154
ZAMBALDE EP	1	0.154
ZANCHETTIN AM	1	0.154
ZECCA L	1	0.154
ZEFRAN M	1	0.154
ZEGERS P	1	0.154
ZENG XF	1	0.154
ZENG Y	1	0.154
ZHANG B	1	0.154
ZHANG HJ	1	0.154
ZHANG JF	1	0.154
ZHANG LB	1	0.154
ZHANG MM	1	0.154
ZHANG QH	1	0.154
ZHANG R	1	0.154
ZHANG T	1	0.154
ZHANG TG	1	0.154
ZHANG TX	1	0.154
ZHANG XL	1	0.154
ZHANG XZ	1	0.154
ZHANG Y	1	0.154
ZHANG YL	1	0.154
ZHANG Z	1	0.154
ZHANG ZJ	1	0.154
ZHANG ZW	1	0.154
ZHANG ZY	1	0.154
ZHAO DB	1	0.154
ZHAO JG	1	0.154
ZHAO WB	1	0.154
ZHAO XG	1	0.154
ZHENG P	1	0.154
ZHENG YL	1	0.154
ZHENG YT	1	0.154
ZHONG JP	1	0.154
ZHONG SL	1	0.154
ZHOU CL	1	0.154
ZHOU T	1	0.154
ZHOU W	1	0.154
ZHU B	1	0.154
ZHU GL	1	0.154
ZHU JH	1	0.154
ZHU MH	1	0.154
ZHU QP	1	0.154
ZHU ZY	1	0.154
ZIBNER SKU	1	0.154
ZIEMKE T	1	0.154
ZILLICH M	1	0.154
ZIVANOVIC A	1	0.154
ZOLL C	1	0.154
ZOLLFRANK C	1	0.154
ZOU QL	1	0.154
ZUKOW-GOLDRING P	1	0.154
ZUREK S	1	0.154
(1507 作者 {0} 個{1}值超出顯示選項。)
(0 記錄 (0.000%)在分析的欄位中，有 {0} 筆記錄{1} 不包含資料。)
